[2025-12-30 12:14:05] [*] Starting ZAP Quick Scan for http://testphp.vulnweb.com (User: 1)...
[2025-12-30 12:14:05] Checking for and terminating existing ZAP processes...
[2025-12-30 12:14:07] No running ZAP processes found.
[2025-12-30 12:14:07] 
--- Starting ZAP Quick Scan ---
[2025-12-30 12:14:07] Target: http://testphp.vulnweb.com
[2025-12-30 12:14:07] Report will be saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:14:07] Executing command: C:\Program Files\ZAP\Zed Attack Proxy\zap.bat -cmd -quickurl http://testphp.vulnweb.com -quickout D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml -quickprogress
[2025-12-30 12:14:07] --- ZAP Output Stream Started ---
[2025-12-30 12:14:07] 
[2025-12-30 12:14:07] C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\Divy\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\Divy\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m )
[2025-12-30 12:32:43] [==================  ] 91% -
[2025-12-30 12:32:44] [==================  ] 91% \
[2025-12-30 12:32:44] [==================  ] 91% |
[2025-12-30 12:32:45] [==================  ] 91% /
[2025-12-30 12:32:45] [==================  ] 92% -
[2025-12-30 12:32:46] [==================  ] 92% \
[2025-12-30 12:32:46] [==================  ] 92% |
[2025-12-30 12:32:47] [==================  ] 92% /
[2025-12-30 12:32:47] [==================  ] 92% -
[2025-12-30 12:32:48] [==================  ] 92% \
[2025-12-30 12:32:48] [==================  ] 92% |
[2025-12-30 12:32:49] [==================  ] 92% /
[2025-12-30 12:32:49] [==================  ] 92% -
[2025-12-30 12:32:50] [==================  ] 92% \
[2025-12-30 12:32:50] [==================  ] 92% |
[2025-12-30 12:32:51] [==================  ] 92% /
[2025-12-30 12:32:51] [==================  ] 92% -
[2025-12-30 12:32:52] [==================  ] 93% \
[2025-12-30 12:32:52] [==================  ] 93% |
[2025-12-30 12:32:53] [==================  ] 93% /
[2025-12-30 12:32:53] [==================  ] 93% -
[2025-12-30 12:32:54] [==================  ] 93% \
[2025-12-30 12:32:54] [==================  ] 93% |
[2025-12-30 12:32:55] [==================  ] 93% /
[2025-12-30 12:32:55] [==================  ] 93% -
[2025-12-30 12:32:56] [==================  ] 93% \
[2025-12-30 12:32:56] [==================  ] 93% |
[2025-12-30 12:32:57] [==================  ] 93% /
[2025-12-30 12:32:57] [==================  ] 93% -
[2025-12-30 12:32:58] [==================  ] 93% \
[2025-12-30 12:32:59] [==================  ] 93% |
[2025-12-30 12:32:59] [==================  ] 93% /
[2025-12-30 12:33:00] [==================  ] 93% -
[2025-12-30 12:33:00] [==================  ] 93% \
[2025-12-30 12:33:01] [==================  ] 93% |
[2025-12-30 12:33:01] [==================  ] 93% /
[2025-12-30 12:33:02] [==================  ] 93% -
[2025-12-30 12:33:02] [==================  ] 93% \
[2025-12-30 12:33:03] [==================  ] 93% |
[2025-12-30 12:33:03] [==================  ] 93% /
[2025-12-30 12:33:04] [==================  ] 93% -
[2025-12-30 12:33:04] [==================  ] 93% \
[2025-12-30 12:33:05] [==================  ] 93% |
[2025-12-30 12:33:05] [==================  ] 93% /
[2025-12-30 12:33:06] [==================  ] 93% -
[2025-12-30 12:33:06] [==================  ] 93% \
[2025-12-30 12:33:07] [==================  ] 93% |
[2025-12-30 12:33:07] [==================  ] 93% /
[2025-12-30 12:33:08] [==================  ] 93% -
[2025-12-30 12:33:08] [==================  ] 93% \
[2025-12-30 12:33:09] [==================  ] 93% |
[2025-12-30 12:33:09] [==================  ] 93% /
[2025-12-30 12:33:10] [==================  ] 93% -
[2025-12-30 12:33:10] [=================== ] 95% \
[2025-12-30 12:33:11] [=================== ] 96% |
[2025-12-30 12:33:11] [=================== ] 96% /
[2025-12-30 12:33:12] [=================== ] 96% -
[2025-12-30 12:33:12] [=================== ] 96% \
[2025-12-30 12:33:13] [=================== ] 96% |
[2025-12-30 12:33:13] [=================== ] 96% /
[2025-12-30 12:33:14] [=================== ] 96% -
[2025-12-30 12:33:14] [=================== ] 97% \
[2025-12-30 12:33:15] [=================== ] 98% |
[2025-12-30 12:33:15] [=================== ] 98% /
[2025-12-30 12:33:16] [=================== ] 98% -
[2025-12-30 12:33:16] [=================== ] 98% \
[2025-12-30 12:33:17] [=================== ] 98% |
[2025-12-30 12:33:17] [=================== ] 98% /
[2025-12-30 12:33:18] [=================== ] 98% -
[2025-12-30 12:33:18] [=================== ] 98% \
[2025-12-30 12:33:19] [=================== ] 99% |
[2025-12-30 12:33:19] [====================] 100%
[2025-12-30 12:33:19] Attack complete
[2025-12-30 12:33:19] Writing results to D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:33:27] --- End of ZAP Output ---
[2025-12-30 12:33:27] Scan completed successfully!
[2025-12-30 12:33:27] [+] ZAP scan command finished. Parsing...
[2025-12-30 12:33:27] Parsing ZAP report: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.xml
[2025-12-30 12:33:27] Report parsed and enriched successfully.
[2025-12-30 12:33:27] JSON report saved to: D:\NetShieldAI\Services\results\1\zap_scanner\zap_report.json
[2025-12-30 12:33:27] [+] JSON report saved.
[2025-12-30 12:33:27] [*] Generating PDF report...
[2025-12-30 12:33:30] [+] PDF generated successfully.
[2025-12-30 12:33:30] [*] Scan, analysis, and prediction complete.
